normalized_source_url,source_url,first_manifest
https://flickr.com/photos/10393601@N08/2671792679,https://www.flickr.com/photos/10393601@N08/2671792679,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10419299@N06/3546665606,https://www.flickr.com/photos/10419299@N06/3546665606,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/10419299@N06/5639386309,https://www.flickr.com/photos/10419299@N06/5639386309,data/desktop_scenes_batch4/manifest.csv
https://flickr.com/photos/10419299@N06/5639959596,https://www.flickr.com/photos/10419299@N06/5639959596,data/desktop_scenes_batch5/manifest.csv
https://flickr.com/photos/10485077@N06/51303551763,https://www.flickr.com/photos/10485077@N06/51303551763,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/104963192@N04/11186316844,https://www.flickr.com/photos/104963192@N04/11186316844,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/10542402@N06/8614158558,https://www.flickr.com/photos/10542402@N06/8614158558,data/desktop_scenes_batch3/manifest.csv
https://flickr.com/photos/10559879@N00/2311645075,https://www.flickr.com/photos/10559879@N00/2311645075,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2426694855,https://www.flickr.com/photos/10559879@N00/2426694855,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2475211335,https://www.flickr.com/photos/10559879@N00/2475211335,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2475215415,https://www.flickr.com/photos/10559879@N00/2475215415,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2476030384,https://www.flickr.com/photos/10559879@N00/2476030384,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2476031058,https://www.flickr.com/photos/10559879@N00/2476031058,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2589205355,https://www.flickr.com/photos/10559879@N00/2589205355,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2589212961,https://www.flickr.com/photos/10559879@N00/2589212961,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2590042528,https://www.flickr.com/photos/10559879@N00/2590042528,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2590043224,https://www.flickr.com/photos/10559879@N00/2590043224,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2590049354,https://www.flickr.com/photos/10559879@N00/2590049354,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2590052550,https://www.flickr.com/photos/10559879@N00/2590052550,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/2911640772,https://www.flickr.com/photos/10559879@N00/2911640772,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/3105996935,https://www.flickr.com/photos/10559879@N00/3105996935,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/3106834290,https://www.flickr.com/photos/10559879@N00/3106834290,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/3106835074,https://www.flickr.com/photos/10559879@N00/3106835074,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/3106837398,https://www.flickr.com/photos/10559879@N00/3106837398,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/3483473308,https://www.flickr.com/photos/10559879@N00/3483473308,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/3483475208,https://www.flickr.com/photos/10559879@N00/3483475208,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/4165410135,https://www.flickr.com/photos/10559879@N00/4165410135,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/4165414625,https://www.flickr.com/photos/10559879@N00/4165414625,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/4198677183,https://www.flickr.com/photos/10559879@N00/4198677183,data/desktop_scenes_batch2/manifest.csv
https://flickr.com/photos/10559879@N00/4199432242,https://www.flickr.com/photos/10559879@N00/4199432242,data/desktop_scenes_batch2/manifest.csv
